,Barbosa,Copacabana,Medellin,Envigado,Caldas
2003-12-31,,,,,527.0
2004-12-31,,,,,559.0
2005-12-31,,,,,574.0
2006-12-31,,,,,651.0
2007-12-31,,,,,758.0
2008-12-31,,,,,716.0
2009-12-31,,,,,784.0
2010-12-31,,,,6495.0,725.0
2011-12-31,,,,7437.0,641.0
2012-12-31,,,,8223.0,1050.0
2013-12-31,,239.0,,7918.0,967.0
2014-12-31,,296.0,,7008.0,944.0
2015-12-31,860.0,439.0,46172.0,6949.0,715.0
2016-12-31,982.0,402.0,47101.0,7867.0,730.0
2017-12-31,806.0,388.0,46208.0,7903.0,619.0
2018-12-31,589.0,529.0,43452.0,7143.0,695.0
2019-12-31,,366.0,,6940.0,659.0
2020-12-31,,707.0,,7769.0,321.0
2021-12-31,,877.0,,5243.0,
2022-12-31,566.0,224.0,,2931.0,
2023-12-31,282.0,,,,
