NOMBRE_MUNICIPIO,NOMBRE_SERVICIO,ESTADO_DEL_VEHICULO,NOMBRE_DE_LA_CLASE,FECHA DE REGISTRO,CANTIDAD,MES DE PUBLICACION,AÑO DE PUBLICACIÓN
BARBOSA,PÚBLICO,ACTIVO,VOLQUETA,1947,1,ABRIL,2025
BARBOSA,PÚBLICO,ACTIVO,CAMION,1948,1,ABRIL,2025
BARBOSA,PÚBLICO,ACTIVO,VOLQUETA,1948,1,ABRIL,2025
BARBOSA,PÚBLICO,ACTIVO,CAMION,1950,2,ABRIL,2025
BARBOSA,PÚBLICO,ACTIVO,VOLQUETA,1950,1,ABRIL,2025
BARBOSA,PARTICULAR,ACTIVO,CAMIONETA,1951,1,ABRIL,2025
BARBOSA,PÚBLICO,ACTIVO,CAMION,1951,1,ABRIL,2025
BARBOSA,PARTICULAR,ACTIVO,CAMION,1952,1,ABRIL,2025
BARBOSA,PARTICULAR,ACTIVO,VOLQUETA,1952,2,ABRIL,2025
BARBOSA,PÚBLICO,ACTIVO,CAMION,1952,3,ABRIL,2025
BARBOSA,PARTICULAR,ACTIVO,BUSETA,1953,1,ABRIL,2025
BARBOSA,PARTICULAR,ACTIVO,CAMION,1953,1,ABRIL,2025
BARBOSA,PARTICULAR,ACTIVO,VOLQUETA,1953,1,ABRIL,2025
BARBOSA,PÚBLICO,ACTIVO,CAMION,1953,1,ABRIL,2025
BARBOSA,PÚBLICO,ACTIVO,VOLQUETA,1953,1,ABRIL,2025
BARBOSA,PÚBLICO,ACTIVO,CAMION,1954,1,ABRIL,2025
BARBOSA,PÚBLICO,ACTIVO,VOLQUETA,1954,3,ABRIL,2025
BARBOSA,PARTICULAR,ACTIVO,CAMION,1955,2,ABRIL,2025
BARBOSA,PARTICULAR,ACTIVO,CAMPERO,1955,1,ABRIL,2025
BARBOSA,PÚBLICO,ACTIVO,CAMION,1955,2,ABRIL,2025
BARBOSA,PÚBLICO,ACTIVO,VOLQUETA,1955,2,ABRIL,2025
BARBOSA,PARTICULAR,ACTIVO,VOLQUETA,1956,3,ABRIL,2025
BARBOSA,PÚBLICO,ACTIVO,CAMION,1956,5,ABRIL,2025
BARBOSA,PÚBLICO,ACTIVO,VOLQUETA,1956,2,ABRIL,2025
BARBOSA,PARTICULAR,ACTIVO,CAMION,1959,1,ABRIL,2025
BARBOSA,PARTICULAR,ACTIVO,CAMIONETA,1959,1,ABRIL,2025
BARBOSA,PARTICULAR,ACTIVO,CAMION,1960,1,ABRIL,2025
BARBOSA,PARTICULAR,ACTIVO,CAMIONETA,1960,1,ABRIL,2025
BARBOSA,PÚBLICO,ACTIVO,BUS,1960,1,ABRIL,2025
BARBOSA,PÚBLICO,ACTIVO,CAMION,1960,5,ABRIL,2025
BARBOSA,PÚBLICO,ACTIVO,VOLQUETA,1960,1,ABRIL,2025
BARBOSA,PARTICULAR,ACTIVO,VOLQUETA,1961,1,ABRIL,2025
BARBOSA,PÚBLICO,ACTIVO,BUS,1961,1,ABRIL,2025
BARBOSA,PARTICULAR,ACTIVO,CAMIONETA,1962,1,ABRIL,2025
