,motos,vehiculos,total,tipo
2011,353867.0,443702.0,797569.0,dato
2012,435811.0,490710.0,926521.0,dato
2013,517755.0,537716.0,1055471.0,dato
2014,589213.0,548065.0,1137278.0,dato
2015,660670.0,558415.0,1219085.0,dato
2016,732128.0,568764.0,1300892.0,dato
2017,803586.0,579113.0,1382699.0,dato
2018,875043.0,589463.0,1464506.0,dato
2019,953242.1428571343,623377.5714285672,1576619.7142857015,extrapolado
2020,1027071.7023809552,642018.4761904702,1669090.1785714254,extrapolado
2021,1100901.2619047463,660659.3809523806,1761560.642857127,extrapolado
2022,1174730.8214285672,679300.2857142836,1854031.1071428508,extrapolado
2023,1248560.380952388,697941.1904761866,1946501.5714285746,extrapolado
2024,1322389.9404761791,716582.0952380896,2038972.0357142687,extrapolado
2019,953242.1428571343,623377.5714285672,1576619.7142857015,extrapolado
2020,1027071.7023809552,642018.4761904702,1669090.1785714254,extrapolado
2021,1100901.2619047463,660659.3809523806,1761560.642857127,extrapolado
2022,1174730.8214285672,679300.2857142836,1854031.1071428508,extrapolado
2023,1248560.380952388,697941.1904761866,1946501.5714285746,extrapolado
2024,1322389.9404761791,716582.0952380896,2038972.0357142687,extrapolado
