,Medellin,Barbosa,Bello,Copacabana,Envigado,Girardota,Itagui,La Estrella,Sabaneta,tipo
1985,1535955.0,29092.0,228927.0,42014.0,92906.0,25859.0,157513.0,34369.0,24249.0,dato
1986,1565394.0,29839.0,235514.0,43356.0,96998.0,26577.0,162188.0,37083.0,25063.0,dato
1987,1595095.0,30586.0,242106.0,44684.0,101074.0,27284.0,166823.0,39691.0,25882.0,dato
1988,1625321.0,31326.0,248705.0,45972.0,105144.0,27999.0,171394.0,42133.0,26713.0,dato
1989,1656333.0,32043.0,255339.0,47215.0,109198.0,28715.0,175890.0,44351.0,27580.0,dato
1990,1688394.0,32746.0,261996.0,48402.0,113226.0,29432.0,180271.0,46269.0,28475.0,dato
1991,1721767.0,33423.0,268685.0,49515.0,117219.0,30151.0,184522.0,47808.0,29414.0,dato
1992,1756711.0,34082.0,275419.0,50538.0,121171.0,30873.0,188612.0,48898.0,30407.0,dato
1993,1793491.0,34698.0,282198.0,51455.0,125094.0,31600.0,192509.0,49500.0,31453.0,dato
1994,1832197.0,35307.0,289036.0,52279.0,128975.0,32326.0,196231.0,49630.0,32555.0,dato
1995,1872241.0,35910.0,295945.0,53037.0,132830.0,33097.0,199793.0,49379.0,33697.0,dato
1996,1912860.0,36525.0,302922.0,53737.0,136686.0,33893.0,203230.0,48902.0,34875.0,dato
1997,1953293.0,37143.0,309979.0,54418.0,140560.0,34717.0,206585.0,48383.0,36064.0,dato
1998,1992781.0,37783.0,317124.0,55118.0,144485.0,35584.0,209905.0,48000.0,37253.0,dato
1999,2030560.0,38417.0,324362.0,55874.0,148475.0,36486.0,213225.0,47927.0,38408.0,dato
2000,2065871.0,39067.0,331726.0,56685.0,152540.0,37417.0,216600.0,48228.0,39530.0,dato
2001,2098618.0,39725.0,339233.0,57561.0,156694.0,38384.0,220060.0,48886.0,40611.0,dato
2002,2129874.0,40398.0,346978.0,58463.0,160937.0,39381.0,223624.0,49724.0,41645.0,dato
2003,2159609.0,41069.0,354967.0,59385.0,165266.0,40420.0,227317.0,50647.0,42627.0,dato
2004,2187831.0,41754.0,363229.0,60303.0,169667.0,41486.0,231142.0,51605.0,43562.0,dato
2005,2214494.0,42453.0,371625.0,61230.0,174150.0,42581.0,234973.0,52571.0,44443.0,dato
2006,2239003.0,43165.0,380105.0,62152.0,178688.0,43689.0,238769.0,53550.0,45265.0,dato
2007,2265244.0,43901.0,388401.0,63062.0,183296.0,44799.0,242278.0,54519.0,46047.0,dato
2008,2291378.0,44650.0,396665.0,63975.0,187962.0,45930.0,245671.0,55496.0,46802.0,dato
2009,2317336.0,45414.0,404895.0,64872.0,192697.0,47066.0,248931.0,56471.0,47536.0,dato
2010,2343049.0,46177.0,413186.0,65773.0,197493.0,48226.0,252150.0,57446.0,48266.0,dato
2011,2368282.0,46954.0,421576.0,66665.0,202354.0,49398.0,255345.0,58422.0,48998.0,dato
2012,2393011.0,47722.0,430034.0,67549.0,207290.0,50583.0,258520.0,59400.0,49727.0,dato
2013,2417325.0,48503.0,438577.0,68434.0,212283.0,51782.0,261662.0,60388.0,50444.0,dato
2014,2441123.0,49274.0,447185.0,69302.0,217343.0,53006.0,264775.0,61365.0,51155.0,dato
2015,2464322.0,50052.0,455865.0,70169.0,222455.0,54240.0,267851.0,62348.0,51860.0,dato
2016,2486723.0,50836.0,464614.0,71035.0,227644.0,55490.0,270903.0,63335.0,52554.0,dato
2017,2508452.0,51617.0,473423.0,71885.0,232903.0,56755.0,273927.0,64315.0,53236.0,dato
2018,2529403.0,52395.0,482287.0,72735.0,238221.0,58030.0,276916.0,65300.0,53914.0,dato
2019,2549537.0,53167.0,491182.0,73574.0,243609.0,59319.0,279871.0,66281.0,54573.0,dato
2020,2569007.0,53946.0,500125.0,74406.0,249046.0,60617.0,282792.0,67259.0,55220.0,dato
2021,2663361.939682536,54051.13174603158,500149.97619047575,75528.08095238078,247592.35396825522,59613.811111111194,289894.8904761905,66266.92698412715,57896.30158730154,extrapolado
2022,2693856.1511368454,54748.852080652025,507914.637065636,76417.24298584275,251986.86709566787,60609.164264264284,293428.59626769554,67011.26688116719,58818.46954096947,extrapolado
2023,2724350.3625911623,55446.57241527224,515679.2979407981,77306.40501930495,256381.38022308238,61604.51741741737,296962.3020592015,67755.606778207,59740.6374946374,extrapolado
2024,2754844.574045472,56144.29274989269,523443.95881595835,78195.56705276691,260775.89335049503,62599.87057057046,300496.0078507075,68499.94667524681,60662.80544830533,extrapolado
